confidence_bin,lower_bound,upper_bound,rows,mean_confidence,direction_accuracy,calibration_gap,absolute_calibration_gap
"[0.00, 0.50)",0.0,0.5,0,,,,
"[0.50, 0.55)",0.5,0.55,0,,,,
"[0.55, 0.60)",0.55,0.6,0,,,,
"[0.60, 0.65)",0.6,0.65,4,0.6,1.0,0.4,0.4
"[0.65, 0.70)",0.65,0.7,6,0.6666666666666669,0.5,-0.16666666666666685,0.16666666666666685
"[0.70, 0.75)",0.7,0.75,0,,,,
"[0.75, 0.80)",0.75,0.8,0,,,,
"[0.80, 0.90)",0.8,0.9,0,,,,
"[0.90, 1.00)",0.9,1.0,0,,,,
