scope,rows,coverage,correct,direction_accuracy,long_rows,long_correct,long_accuracy,short_rows,short_correct,short_accuracy,confidence_rule
all_days,10,1.0,7,0.7,3,3,1.0,7,4,0.5714285714285714,
high_confidence,0,0.0,0,,0,0,,0,0,,veto_applied=1 & base_calibration_accuracy>=0.575 & veto_state_accuracy>=0.333 & veto_state_rows<=45
