trade_date,predicted_pct_change,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback
20260721,0.013803586785986184,3917.70922663776,0.6,0.0006900224360155693,True,0.5930445195956486,300,platt,300,0
20260722,0.005093675203409606,3886.731013159072,0.6,0.002519709164150896,True,0.5930662173291528,300,platt,300,0
20260723,-0.003056315537763536,3864.9287449959293,0.6,-0.01614217004050844,True,0.5967785207905048,300,platt,300,0
20260724,0.006014085904529195,3837.136713226066,0.6666666666666667,0.011548221227540845,True,0.5874061986171489,300,platt,300,0
20260727,-0.0075369462060424115,3829.165614985268,0.6666666666666667,-0.011645294687092078,True,0.5876671326605728,300,platt,300,0
20260728,-0.00549156112055943,3792.3735498021783,0.6666666666666667,0.003974075467048976,False,0.5878996702181103,300,platt,300,0
20260729,-0.007407125562207613,3800.111049405981,0.6,-0.006210419883248441,True,0.5966704051343898,300,platt,300,0
20260730,-0.008442970893149123,3772.5696911208197,0.6666666666666667,0.007246262155318428,False,0.5876654923065356,300,platt,300,0
20260731,-0.002817191971455423,3821.4661811342094,0.6666666666666667,-0.005897169254380996,True,0.5841284053569247,300,platt,300,0
20260803,-0.0034385175524139534,3796.5633072495693,0.6666666666666667,0.0033130752854799717,False,0.5877524909944916,300,platt,300,0
