window,method,evaluation_rows,mean_calibrated_confidence,direction_accuracy,calibration_gap,expected_calibration_error,max_calibration_error,brier_score,selected,selection_rule
300,platt,10,0.590207905300348,0.7,0.10979209469965201,0.10979209469965201,0.10979209469965201,0.22061011553198467,True,min_ece_then_brier
120,platt,10,0.5832489458821599,0.7,0.11675105411784004,0.11675105411784004,0.11675105411784004,0.2237735070470052,False,min_ece_then_brier
600,platt,10,0.5664369641077879,0.7,0.13356303589221208,0.13356303589221208,0.13356303589221208,0.2257676545336355,False,min_ece_then_brier
