trade_date,source_rows,excluded_exchange_rows,all_active_rows,all_up_fraction,all_down_fraction,all_median_return,all_mean_return,all_down_amount_fraction,all_large_down_fraction,shanghai_active_rows,shanghai_up_fraction,shanghai_down_fraction,shanghai_median_return,shanghai_mean_return,shanghai_down_amount_fraction,shanghai_large_down_fraction
20201117,4141,78,4063,0.32045286733940437,0.6470588235294118,-0.0076339999999999993,-0.0062696187546148171,0.58481339593162207,0.23381737632291411,1754,0.3671607753705815,0.59350057012542756,-0.0049525000000000003,-0.0036690946408209804,0.50567988142253961,0.17844925883694412
20201118,4147,80,4067,0.57634620113105484,0.37693631669535282,0.0028649999999999999,0.0063401453159577081,0.42408677741140421,0.095647897713302191,1755,0.58575498575498575,0.36125356125356123,0.003058,0.0062913515669515679,0.39871796347498423,0.086039886039886035
20201119,4141,75,4066,0.5135268076733891,0.43925233644859812,0.0011095,0.0030186603541564193,0.40176881466676112,0.10132808657156911,1755,0.48205128205128206,0.46438746438746437,0,0.0014178894586894582,0.41629864595958821,0.1037037037037037
20201120,4139,73,4066,0.53516969995081165,0.41170683718642398,0.001536,0.0054244717166748646,0.35019968889186759,0.059026069847515988,1755,0.57037037037037042,0.36752136752136755,0.0027620000000000001,0.0074609732193732193,0.31458703955273487,0.030769230769230771
20201123,4145,78,4067,0.50799114826653557,0.45143840668797641,0.00084099999999999995,0.0040284123432505533,0.30577797537851892,0.10523727563314482,1756,0.55751708428246016,0.40489749430523919,0.0027794999999999999,0.0057031281321184516,0.24387740337120342,0.078018223234624151
20201124,4143,77,4066,0.38858829316281357,0.5713231677324152,-0.0029255000000000001,0.00016326610919822906,0.51903409195077621,0.11239547466797836,1756,0.37585421412300685,0.58314350797266512,-0.0032079999999999999,0.00077448690205011376,0.51476924204282715,0.099088838268792709
20201125,4140,75,4065,0.1918819188191882,0.78720787207872078,-0.013828,-0.012886224846248462,0.72700582265381086,0.34514145141451413,1755,0.18176638176638177,0.79715099715099713,-0.012802000000000001,-0.012273842735042735,0.72016727251196166,0.32763532763532766
20201126,4146,76,4070,0.36683046683046683,0.59533169533169528,-0.0046874999999999998,-0.0041373127764127767,0.53742552347629347,0.18968058968058968,1757,0.40011383039271486,0.55549231644849173,-0.0030630000000000002,-0.0026706277746158225,0.47344164257689025,0.15480933409220263
20201127,4151,81,4070,0.45970515970515968,0.49926289926289924,0,6.6868796068795814e-05,0.3999821311476025,0.13538083538083537,1756,0.51708428246013671,0.43451025056947606,0.0011800000000000001,0.0020262608200455581,0.32353660917601512,0.096810933940774488
20201130,4147,79,4068,0.37413962635201575,0.57841691248770899,-0.0032034999999999998,-0.0024274205998033429,0.49475823610960995,0.15412979351032449,1755,0.37037037037037035,0.57264957264957261,-0.0030299999999999997,-0.0024259566951566956,0.51934004559918745,0.13390313390313391
20201201,4150,80,4070,0.80515970515970514,0.15380835380835381,0.0090735,0.013018565356265357,0.14286077547777914,0.027272727272727271,1757,0.78087649402390436,0.16789982925441094,0.0076339999999999993,0.011472266932270917,0.13850846064815842,0.027888446215139442
20201202,4144,74,4070,0.48648648648648651,0.47002457002457004,0,0.0034917282555282552,0.45802894907312547,0.094348894348894347,1756,0.49544419134396356,0.45558086560364464,0,0.0038932209567198168,0.46684414341426744,0.080296127562642372
20201203,4152,79,4073,0.4065799165234471,0.56101153940584336,-0.0026570000000000001,-0.001488032163024797,0.52706574686526531,0.15099435305671496,1759,0.40420693575895394,0.56395679363274587,-0.0026919999999999999,-0.0017182353610005687,0.54489376407423185,0.14098919840818647
20201204,4146,72,4074,0.47299950908198329,0.48748159057437407,0,0.002367399852724595,0.43350660620678522,0.081983308787432499,1759,0.45252984650369527,0.50653780557134731,-0.00074300000000000006,0.0020609528140989198,0.46023815149881131,0.080159181353041495
20201207,4157,82,4075,0.31190184049079756,0.66650306748466259,-0.0082989999999999991,-0.0031835597546012264,0.56139055088127932,0.190920245398773,1759,0.3075611142694713,0.67254121660034105,-0.0081849999999999996,-0.0036084303581580446,0.59065277387224868,0.16998294485503126
20201208,4159,79,4080,0.35808823529411765,0.60171568627450978,-0.0038760000000000001,-0.0017344551470588239,0.47715626406175804,0.1321078431372549,1763,0.34316505955757232,0.61542824730572887,-0.0041840000000000002,-0.0016324946114577423,0.49847797465221294,0.12705615428247305
20201209,4156,76,4080,0.14019607843137255,0.84607843137254901,-0.020902999999999998,-0.018425480147058824,0.74855142413479869,0.52328431372549022,1762,0.14982973893303064,0.83371169125993194,-0.018234500000000001,-0.016049527241770715,0.72067002183858164,0.46538024971623154
20201210,4156,75,4081,0.44596912521440824,0.51114922813036023,-0.001034,-0.00033597402597402605,0.48501839793817719,0.14947316834109287,1763,0.43675553034600112,0.5150311968235961,-0.0010939999999999999,0.00054415995462280215,0.48160081369026525,0.1344299489506523
20201211,4165,81,4084,0.18511263467189029,0.80019588638589623,-0.018470500000000001,-0.015699625122428989,0.68298360021340643,0.46008814887365329,1764,0.20294784580498867,0.77891156462585032,-0.015799000000000001,-0.013162032879818595,0.64388643155011649,0.38435374149659862
20201214,4162,75,4087,0.61903596770247127,0.34548568632248594,0.0046210000000000001,0.0070134722290188392,0.30365636459684836,0.092977734279422561,1766,0.57814269535673835,0.38731596828992071,0.0031799999999999997,0.0059745656851642121,0.33102730614790327,0.099660249150622882
20201215,4163,73,4090,0.42689486552567235,0.53716381418092907,-0.0019750000000000002,-0.00078652713936430327,0.45820210359791674,0.14743276283618581,1768,0.43438914027149322,0.52714932126696834,-0.001622,1.956900452488695e-05,0.51187915902633352,0.13178733031674209
20201216,4174,80,4094,0.24645823155837812,0.73082559843673667,-0.012888,-0.010103349780166098,0.53919875761433533,0.36077186126038102,1771,0.27667984189723321,0.69282891022021453,-0.0086150000000000011,-0.0058343743647656689,0.50621082011911644,0.27442123094297005
20201217,4169,76,4093,0.68360615685316395,0.28487661861715124,0.0075449999999999996,0.0088607314927925743,0.28835825533617154,0.078670901539213287,1771,0.67814793901750425,0.29023150762281197,0.0067840000000000001,0.008249499717673631,0.27783372624125036,0.080745341614906832
20201218,4180,84,4096,0.3369140625,0.633056640625,-0.0068564999999999997,-0.0035511914062500002,0.50821968510193916,0.20947265625,1772,0.37076749435665912,0.59762979683972917,-0.0044979999999999994,-0.0009050146726862306,0.50254902423544123,0.16478555304740405
20201221,4177,79,4098,0.648365056124939,0.30673499267935578,0.0054520000000000002,0.010679898975109811,0.23320032825442705,0.051488530990727185,1773,0.62944162436548223,0.32148900169204736,0.0047169999999999998,0.010044272983643542,0.27713278411050768,0.055837563451776651
20201222,4179,82,4097,0.15133024164022454,0.83744203075421042,-0.023723999999999999,-0.019502135709055405,0.70227974636391832,0.57798389065169631,1772,0.15462753950338601,0.83126410835214448,-0.021697000000000001,-0.018751643905191875,0.68224001524556732,0.54119638826185101
20201223,4180,80,4100,0.50804878048780489,0.44463414634146342,0.00088600000000000007,0.0044854563414634153,0.29543365510760472,0.12731707317073171,1774,0.51972942502818487,0.43235625704622321,0.0013785,0.0048693759864712515,0.2930043136377663,0.12119503945885006
20201224,4186,84,4102,0.19624573378839591,0.79083373963920034,-0.021528499999999999,-0.018172045587518282,0.62742496428447803,0.53047294002925405,1775,0.20619718309859156,0.77802816901408456,-0.018506999999999999,-0.015578924507042255,0.61426137104390999,0.4636619718309859
20201225,4183,78,4105,0.65091352009744219,0.31084043848964676,0.0067450000000000001,0.010156323264311814,0.32353255548480131,0.091108404384896466,1777,0.65278559369724254,0.2999437253798537,0.0063560000000000005,0.010445002250984806,0.31602243844167721,0.08384918401800788
20201228,4184,76,4108,0.26630963972736127,0.71397273612463485,-0.014908000000000001,-0.010811316699123661,0.50115482871665873,0.40530671859785783,1778,0.28290213723284591,0.69066366704161974,-0.011405,-0.0085374482564679419,0.47641522651304186,0.34926884139482567
20201229,4194,80,4114,0.50559066601847347,0.45721925133689839,0.00075250000000000013,-0.0023554739912493923,0.6036980875692326,0.2292173067574137,1781,0.47389107243121842,0.48006737787759685,0,-0.0045211089275687816,0.61649250540709277,0.25659741718135881
20201230,4203,87,4116,0.48760932944606417,0.45602526724975706,0,0.0056602223032069963,0.26339403586218646,0.084305150631681244,1784,0.51457399103139012,0.42040358744394618,0.00095649999999999989,0.0078200257847533625,0.22397072803432458,0.06614349775784753
20201231,4201,83,4118,0.76323457989315202,0.19426906265177271,0.010470999999999999,0.014937065322972317,0.18267934558432822,0.040310830500242839,1786,0.72676371780515114,0.21612541993281076,0.0088575000000000008,0.013943577827547593,0.18021252201890015,0.04647256438969765
20210104,4208,87,4121,0.68308662945886922,0.28318369327833048,0.0094470000000000005,0.014828967726280028,0.2732869205319271,0.068187333171560296,1785,0.64929971988795521,0.30644257703081235,0.0070750000000000006,0.013133732773109245,0.34129817424135256,0.071708683473389351
20210105,4207,85,4122,0.39640950994662782,0.57860262008733621,-0.0048509999999999994,-0.00056822464822901516,0.39630466594008229,0.21130519165453662,1786,0.41433370660694291,0.55935050391937291,-0.0037055,0.00054034994400895865,0.42477291038048692,0.18421052631578946
