trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20201117,4062,4063,4062,0.99975387644597591,0.99987943249070743,-0.024840292036071947,0.023422747459075407,0.71344165435745943,0.69199670490086052,-0.03014664474594806,0.64992614475627775,0.0078276393278207401,0.15613123311031657,0.059098838004326075,-0.023241328452459766,-0.026863892547555057
20201118,4066,4067,4066,0.99975411851487583,0.9998920389105409,-0.011459472261900088,0.01015355178727391,0.62001967535661584,0.61301727503888959,-0.014287473190711639,0.52016724053123464,0.0049301912807112247,0.19984924962293163,0.033939402074911119,-0.0094453341211474442,-0.014102267214191531
20201119,4065,4066,4065,0.999754058042302,0.99972708414113198,-0.010771850566376018,0.010270992881512422,0.62878228782287826,0.57339374539524213,-0.015520013859775321,0.54292742927429272,0.00055279480677729136,0.20029040167889281,0.042692871922658256,-0.0076920568616161873,-0.014451249062822203
20201120,4065,4066,4065,0.999754058042302,0.9997761332642352,-0.0021338882718924587,0.0049725519688861072,0.60664206642066421,0.53281627386663832,-0.013551268156063268,0.52423124231242313,0.0049295359388873018,0.20581614007040086,0.046109598344200524,0.0047298165795018558,-0.010066746465163758
20201123,4066,4067,4066,0.99975411851487583,0.99985135940194481,-0.00089922681419682664,0.0030187817265396872,0.62124938514510575,0.47653110075554528,-0.015422264889183079,0.52434825381210037,0.0073788991976383722,0.18928772921321527,0.031577403635844589,0.0086646429715820927,-0.012580032097140096
20201124,4065,4066,4065,0.999754058042302,0.99983546861311978,-0.020805542602121661,0.018178507683503573,0.6789667896678967,0.67370996652490767,-0.022654077202927295,0.60246002460024606,0.0011991305562012097,0.19828741506678466,0.055150814287850285,-0.020713353570377541,-0.020921551114119523
20201125,4064,4065,4064,0.9997539975399754,0.99987451124154569,-0.0286510074795704,0.025939220002310907,0.72711614173228345,0.71133367726966301,-0.032229876862280682,0.66633858267716539,0.0026465521796324859,0.065663117330136023,0.086086592596686246,-0.024527380359124568,-0.033436866569171789
20201126,4069,4070,4069,0.99975429975429975,0.99985261345554888,-0.023833830986370812,0.022042443265820801,0.71516343081838285,0.6843824665001601,-0.02991152516552411,0.64757925780289993,0.0076022197760441529,0.1725908357269258,0.038639315418176987,-0.021115363756620844,-0.027100445532570981
20201127,4069,4070,4069,0.99975429975429975,0.99977330706969247,-0.010207045601067876,0.011445392717151505,0.68346030965839277,0.57525035018990367,-0.024485458885805601,0.60309658392725485,0.0063144479121594798,0.19360821055825608,0.031167068194033601,-0.00036857174799982451,-0.022468206602912703
20201130,4067,4068,4067,0.99975417895771879,0.9998647783908321,-0.0037108351347880119,0.0051424244606466342,0.6424883206294566,0.54164466374289699,-0.015309746505383953,0.53110400786820755,0.00099674120579941331,0.14256284415307288,0.11318176981149927,0.0034585486267273086,-0.014485388016916559
20201201,4069,4070,4069,0.99975429975429975,0.9998691600863806,0.0067934495510389983,-0.0017662075119455065,0.54411403293192429,0.4575046907801521,-0.0049617930075198068,0.44064880806094864,-0.0016077415505936646,0.31533563667961784,0.01726758222232844,0.014475859419355636,-0.0035363813652743411
20201202,4069,4070,4069,0.99975429975429975,0.99983881014437337,-0.013183349785450795,0.01258117627553261,0.64020643892848361,0.5767117257481722,-0.018561695685087056,0.56377488326370118,0.0018912926654472469,0.15783527046835608,0.049242703122226637,-0.012348809518118255,-0.014255570773705957
20201203,4072,4073,4072,0.999754480726737,0.99987818762366454,-0.021026583733730918,0.018408297759287724,0.66552062868369355,0.6396085383421376,-0.021945835194703868,0.59111001964636545,-0.0016346973080801977,0.14599939910015725,0.041546627563584036,-0.02023462221588182,-0.022028173992691226
